half,time,team,event,away_score,home_score
2,15:48,Arkansas PB,Brandon Brown missed Free Throw.,26,58
2,15:48,Baylor,Jonathan Tchamwa Tchatchoua Defensive Rebound.,26,58
2,15:30,Arkansas PB,Foul on Kshun Stokes.,26,58
2,15:30,Baylor,Jeremy Sochan made Free Throw.,26,59
2,15:30,Baylor,Jeremy Sochan missed Free Throw.,26,59
2,15:30,Baylor,Baylor Deadball Team Rebound.,26,59
2,15:30,Baylor,Jeremy Sochan made Free Throw.,26,60
2,15:20,Arkansas PB,Kshun Stokes Turnover.,26,60
2,15:08,Baylor,Jeremy Sochan made Dunk. Assisted by Matthew Mayer.,26,62
2,15:00,Baylor,Foul on Matthew Mayer.,26,62
2,14:50,Arkansas PB,Kylen Milton Turnover.,26,62
2,14:31,Baylor,Matthew Mayer made Three Point Jumper. Assisted by Jeremy Sochan.,26,65
2,14:02,Arkansas PB,Shawn Williams made Three Point Jumper. Assisted by Brandon Brown.,29,65
2,13:44,Arkansas PB,Foul on Brandon Brown.,29,65
2,13:36,Baylor,Matthew Mayer missed Jumper.,29,65
2,13:36,Baylor,Matthew Mayer Offensive Rebound.,29,65
2,13:31,Arkansas PB,Foul on Brandon Brown.,29,65
2,13:31,Baylor,Matthew Mayer made Free Throw.,29,66
2,13:31,Baylor,Matthew Mayer missed Free Throw.,29,66
2,13:31,Arkansas PB,Kylen Milton Defensive Rebound.,29,66
2,13:21,Arkansas PB,Shawn Williams missed Three Point Jumper.,29,66
2,13:21,Baylor,Matthew Mayer Defensive Rebound.,29,66
2,13:13,Baylor,Jeremy Sochan Turnover.,29,66
2,13:13,Arkansas PB,Shawn Williams Steal.,29,66
2,13:09,Arkansas PB,Kshun Stokes made Layup. Assisted by Shawn Williams.,31,66
2,12:57,Arkansas PB,Foul on Brahm Harris.,31,66
2,12:51,Baylor,LJ Cryer made Layup.,31,68
2,12:35,Arkansas PB,Shawn Williams missed Three Point Jumper.,31,68
2,12:35,Baylor,LJ Cryer Defensive Rebound.,31,68
2,12:13,Arkansas PB,Foul on Jaylan Thomas.,31,68
2,12:13,Baylor,Jonathan Tchamwa Tchatchoua made Free Throw.,31,69
2,12:13,Baylor,Jonathan Tchamwa Tchatchoua made Free Throw.,31,70
2,12:05,Arkansas PB,Brahm Harris missed Layup.,31,70
2,12:05,Arkansas PB,Trey Sampson Offensive Rebound.,31,70
2,12:05,Arkansas PB,Trey Sampson made Two Point Tip Shot.,33,70
2,11:43,Baylor,LJ Cryer missed Three Point Jumper.,33,70
2,11:43,Baylor,Kendall Brown Offensive Rebound.,33,70
2,11:36,Baylor,Adam Flagler missed Three Point Jumper.,33,70
2,11:36,Arkansas PB,Brandon Brown Defensive Rebound.,33,70
2,11:22,Arkansas PB,Brahm Harris missed Three Point Jumper.,33,70
2,11:22,Baylor,Jeremy Sochan Defensive Rebound.,33,70
2,11:14,Baylor,LJ Cryer missed Three Point Jumper.,33,70
2,11:14,Baylor,Jonathan Tchamwa Tchatchoua Offensive Rebound.,33,70
2,11:09,Baylor,LJ Cryer made Layup. Assisted by Jonathan Tchamwa Tchatchoua.,33,72
2,10:50,Arkansas PB,Arkansas-Pine Bluff  Timeout,33,72
2,10:30,Arkansas PB,Shawn Williams made Three Point Jumper. Assisted by Brandon Brown.,36,72
2,10:14,Arkansas PB,Foul on AJ Stredic.,36,72
2,10:14,Baylor,Official TV Timeout,36,72
2,10:14,Baylor,Jeremy Sochan missed Free Throw.,36,72
2,10:14,Baylor,Baylor Deadball Team Rebound.,36,72
2,10:14,Baylor,Jeremy Sochan missed Free Throw.,36,72
2,10:14,Baylor,Jonathan Tchamwa Tchatchoua Offensive Rebound.,36,72
2,10:12,Baylor,Jeremy Sochan made Layup. Assisted by Jonathan Tchamwa Tchatchoua.,36,74
2,9:48,Arkansas PB,Brandon Brown missed Three Point Jumper.,36,74
2,9:48,Baylor,Adam Flagler Defensive Rebound.,36,74
2,9:21,Baylor,Jeremy Sochan made Layup.,36,76
2,9:00,Arkansas PB,Kshun Stokes missed Three Point Jumper.,36,76
2,9:00,Arkansas PB,Brandon Brown Offensive Rebound.,36,76
2,9:00,Arkansas PB,Brandon Brown made Two Point Tip Shot.,38,76
